order_id,shipping_mode,courier_partner,warehouse_city,delivery_city,expected_delivery_days,actual_delivery_days,delivery_delay,distance_km,is_remote_area,delivery_attempts,courier_delay_rate,warehouse_processing_time
O153,Standard,Delhivery,Bangalore,Lucknow,5,7,2,1990,1,3,0.32,1.58
O154,Standard,BlueDart,Chennai,Mumbai,3,3,0,209,0,3,0.17,1.73
O155,Standard,BlueDart,Bangalore,Chennai,5,8,3,1830,1,1,0.39,2.71
O156,Standard,Delhivery,Chennai,Lucknow,6,7,1,741,0,3,0.32,2.8
O157,Standard,Delhivery,Kolkata,Delhi,5,5,0,805,1,3,0.08,2.59
O158,Express,Ecom Express,Delhi,Delhi,2,2,0,230,0,3,0.29,2.25
O159,Express,Delhivery,Bangalore,Mumbai,2,2,0,137,0,2,0.13,1.86
O160,Standard,Delhivery,Chennai,Lucknow,5,5,0,1613,1,1,0.3,1.39
O161,Standard,BlueDart,Jaipur,Lucknow,4,4,0,70,0,2,0.29,1.2
O162,Standard,Delhivery,Hyderabad,Delhi,5,6,1,359,0,2,0.18,2.11
O163,Standard,Delhivery,Lucknow,Lucknow,6,6,0,1122,1,3,0.13,2.87
O164,Standard,Delhivery,Jaipur,Bangalore,6,6,0,960,1,1,0.24,2.23
O165,Standard,BlueDart,Delhi,Lucknow,5,6,1,265,0,2,0.32,1.93
O166,Standard,Delhivery,Chennai,Kolkata,3,4,1,117,0,3,0.27,1.66
O167,Express,Delhivery,Delhi,Hyderabad,3,3,0,424,0,2,0.21,2.44
O168,Standard,Delhivery,Hyderabad,Delhi,4,4,0,239,0,1,0.08,1.05
O169,Same-Day,BlueDart,Lucknow,Bangalore,0,2,2,619,0,3,0.3,1.86
O170,Same-Day,BlueDart,Chennai,Jaipur,0,1,1,354,0,3,0.18,2.18
O171,Standard,Delhivery,Chennai,Chennai,6,6,0,1433,1,2,0.08,1.78
O172,Standard,BlueDart,Chennai,Delhi,3,3,0,1864,1,1,0.3,1.72
O173,Same-Day,BlueDart,Delhi,Delhi,0,0,0,362,0,2,0.25,2.32
O174,Standard,Ecom Express,Chennai,Jaipur,6,6,0,1976,1,1,0.22,2.18
O175,Standard,Delhivery,Hyderabad,Mumbai,3,7,4,97,0,1,0.37,1.35
O176,Express,Ecom Express,Bangalore,Bangalore,3,4,1,517,0,1,0.23,2.4
O177,Standard,Delhivery,Jaipur,Jaipur,4,6,2,522,0,3,0.35,1.38
O178,Same-Day,Ecom Express,Mumbai,Kolkata,0,0,0,73,0,2,0.1,2.46
O179,Standard,BlueDart,Jaipur,Hyderabad,4,4,0,1173,1,3,0.14,1.14
O180,Standard,Delhivery,Chennai,Mumbai,3,3,0,246,0,2,0.15,1.72
O181,Express,BlueDart,Bangalore,Jaipur,3,3,0,1183,1,3,0.22,1.22
O182,Standard,Delhivery,Kolkata,Hyderabad,3,3,0,71,0,3,0.28,1.12
O183,Standard,Delhivery,Lucknow,Hyderabad,3,4,1,713,0,1,0.22,1.08
O184,Express,Delhivery,Bangalore,Kolkata,3,3,0,722,0,1,0.24,2.62
O185,Express,Ecom Express,Delhi,Jaipur,3,3,0,1405,1,2,0.23,2.1
O186,Express,Ecom Express,Bangalore,Chennai,2,3,1,401,0,1,0.25,2.51
O187,Standard,BlueDart,Kolkata,Jaipur,4,6,2,1669,1,3,0.31,1.49
O188,Standard,Ecom Express,Kolkata,Delhi,3,4,1,1349,1,1,0.26,1.61
O189,Express,BlueDart,Lucknow,Delhi,3,3,0,1833,1,2,0.07,2.82
O190,Standard,Ecom Express,Lucknow,Delhi,3,3,0,767,0,3,0.24,2.91
O191,Standard,Ecom Express,Jaipur,Delhi,5,6,1,574,0,2,0.15,1.77
O192,Standard,Delhivery,Kolkata,Delhi,4,4,0,1356,1,2,0.25,2.18
O193,Express,Delhivery,Jaipur,Mumbai,2,2,0,1778,1,3,0.28,1.57
O194,Standard,BlueDart,Chennai,Lucknow,4,5,1,1971,1,1,0.4,2.54
O195,Express,Delhivery,Mumbai,Lucknow,3,3,0,566,0,2,0.19,1.64
O196,Standard,Ecom Express,Hyderabad,Delhi,6,6,0,40,0,2,0.06,2.88
O197,Standard,Delhivery,Hyderabad,Chennai,6,6,0,373,0,3,0.09,2.74
O198,Standard,Ecom Express,Hyderabad,Mumbai,3,3,0,382,0,1,0.29,2.98
O199,Standard,Ecom Express,Mumbai,Lucknow,3,4,1,1234,1,1,0.2,2.14
O200,Express,BlueDart,Bangalore,Lucknow,2,9,7,298,0,1,0.24,1.58
O201,Standard,BlueDart,Hyderabad,Mumbai,5,6,1,1051,1,2,0.36,1.07
O202,Standard,Ecom Express,Jaipur,Lucknow,3,5,2,1968,1,3,0.33,2.7
O203,Express,BlueDart,Hyderabad,Delhi,2,3,1,1355,1,2,0.21,2.54
O204,Express,Delhivery,Kolkata,Delhi,3,5,2,1996,1,3,0.28,2.83
O205,Standard,BlueDart,Delhi,Jaipur,4,4,0,1171,1,3,0.12,1.57
O206,Express,Delhivery,Lucknow,Bangalore,2,3,1,1039,1,1,0.19,1.84
O207,Standard,BlueDart,Jaipur,Jaipur,4,10,6,1785,1,2,0.18,2.39
O208,Express,BlueDart,Lucknow,Kolkata,2,2,0,1216,1,2,0.21,2.48
O209,Standard,Delhivery,Bangalore,Mumbai,4,6,2,1487,1,3,0.3,2.35
O210,Express,BlueDart,Kolkata,Bangalore,1,1,0,1046,1,1,0.19,2.79
O211,Standard,Ecom Express,Hyderabad,Bangalore,5,6,1,666,0,2,0.28,2.15
O212,Express,BlueDart,Chennai,Lucknow,1,1,0,247,0,3,0.24,2.85
O213,Standard,Ecom Express,Hyderabad,Kolkata,4,5,1,1135,1,1,0.27,2.64
O214,Standard,BlueDart,Lucknow,Kolkata,6,6,0,1071,1,2,0.07,1.27
O215,Standard,BlueDart,Lucknow,Lucknow,3,4,1,1529,1,3,0.33,2.34
O216,Express,Ecom Express,Bangalore,Jaipur,2,3,1,210,0,3,0.31,1.49
O217,Express,Delhivery,Hyderabad,Lucknow,3,4,1,405,0,3,0.37,2.9
O218,Express,BlueDart,Hyderabad,Delhi,3,3,0,1256,1,3,0.14,2.06
O219,Express,BlueDart,Chennai,Bangalore,3,4,1,998,1,1,0.2,2.93
O220,Standard,Delhivery,Kolkata,Kolkata,5,5,0,511,0,3,0.15,1.26
O221,Express,Delhivery,Kolkata,Hyderabad,1,1,0,600,0,2,0.22,1.82
O222,Standard,BlueDart,Lucknow,Chennai,3,3,0,554,0,2,0.11,2.75
O223,Standard,Ecom Express,Kolkata,Hyderabad,5,6,1,269,0,2,0.34,2.11
O224,Standard,BlueDart,Kolkata,Kolkata,4,4,0,1721,1,2,0.1,2.47
O225,Standard,Delhivery,Hyderabad,Delhi,3,4,1,1032,1,1,0.22,1.25
O226,Standard,Delhivery,Bangalore,Jaipur,3,3,0,161,0,3,0.26,2.21
O227,Standard,BlueDart,Lucknow,Lucknow,4,5,1,1707,1,1,0.17,2.94
O228,Standard,Delhivery,Jaipur,Jaipur,3,3,0,460,0,1,0.3,2.46
O229,Standard,Ecom Express,Mumbai,Lucknow,4,5,1,1188,1,3,0.23,1.29
O230,Standard,Ecom Express,Hyderabad,Hyderabad,6,7,1,1220,1,1,0.34,1.5
O231,Express,Ecom Express,Lucknow,Bangalore,2,4,2,1416,1,3,0.27,2.92
O232,Standard,Delhivery,Mumbai,Bangalore,3,3,0,1891,1,1,0.1,2.74
O233,Standard,BlueDart,Jaipur,Kolkata,6,6,0,354,0,1,0.12,1.87
O234,Standard,BlueDart,Chennai,Bangalore,5,8,3,1159,1,2,0.27,2.87
O235,Standard,Ecom Express,Hyderabad,Kolkata,3,5,2,655,0,1,0.32,2.08
O236,Standard,Delhivery,Hyderabad,Lucknow,4,4,0,141,0,2,0.12,2.82
O237,Express,Ecom Express,Hyderabad,Mumbai,2,3,1,1283,1,1,0.3,1.21
O238,Express,Ecom Express,Chennai,Jaipur,3,3,0,214,0,3,0.27,2.34
O239,Standard,Delhivery,Kolkata,Lucknow,4,4,0,192,0,1,0.27,1.1
O240,Same-Day,BlueDart,Kolkata,Delhi,1,4,3,674,0,2,0.36,1.63
O241,Standard,BlueDart,Mumbai,Jaipur,5,5,0,1461,1,3,0.27,2.3
O242,Express,Delhivery,Jaipur,Kolkata,2,2,0,1583,1,2,0.09,2.5
O243,Standard,Ecom Express,Bangalore,Mumbai,4,4,0,16,0,3,0.12,2.29
O244,Standard,BlueDart,Lucknow,Jaipur,5,7,2,566,0,2,0.19,2.5
O245,Standard,Delhivery,Jaipur,Kolkata,3,7,4,761,0,1,0.16,2.27
O246,Standard,Ecom Express,Delhi,Lucknow,4,4,0,1346,1,3,0.23,1.73
O247,Express,Delhivery,Chennai,Bangalore,2,2,0,1720,1,1,0.09,1.09
O248,Standard,BlueDart,Mumbai,Delhi,4,6,2,1306,1,2,0.27,2.67
O249,Standard,Ecom Express,Bangalore,Bangalore,3,3,0,1885,1,1,0.25,1.44
O250,Standard,Ecom Express,Delhi,Bangalore,5,5,0,1719,1,2,0.06,2.41
O251,Express,BlueDart,Lucknow,Lucknow,2,3,1,467,0,2,0.17,1.71
O252,Express,Ecom Express,Hyderabad,Bangalore,3,3,0,1412,1,3,0.16,2.29
O253,Express,Delhivery,Delhi,Hyderabad,1,1,0,1056,1,2,0.08,2.17
O254,Express,Delhivery,Jaipur,Delhi,1,2,1,665,0,2,0.23,2.3
O255,Standard,BlueDart,Jaipur,Kolkata,5,5,0,338,0,3,0.15,2.67
O256,Same-Day,BlueDart,Jaipur,Bangalore,1,5,4,619,0,3,0.16,2.02
O257,Standard,Delhivery,Mumbai,Delhi,4,6,2,1953,1,2,0.35,1.28
O258,Standard,Delhivery,Hyderabad,Kolkata,6,7,1,6,0,1,0.26,2.45
O259,Standard,Ecom Express,Hyderabad,Bangalore,3,3,0,982,1,2,0.22,2.66
O260,Express,BlueDart,Jaipur,Hyderabad,2,2,0,268,0,3,0.15,1.14
O261,Standard,Ecom Express,Bangalore,Bangalore,3,4,1,459,0,3,0.3,1.8
O262,Same-Day,Delhivery,Chennai,Chennai,0,0,0,95,0,2,0.15,2.64
O263,Standard,BlueDart,Mumbai,Kolkata,4,4,0,339,0,3,0.27,2.61
O264,Standard,BlueDart,Bangalore,Kolkata,6,7,1,1410,1,2,0.26,2.48
O265,Standard,Delhivery,Jaipur,Jaipur,5,7,2,1604,1,3,0.34,2.74
O266,Express,BlueDart,Chennai,Hyderabad,1,1,0,1059,1,1,0.08,1.98
O267,Express,BlueDart,Delhi,Lucknow,2,2,0,876,1,2,0.14,1.04
O268,Express,Delhivery,Mumbai,Bangalore,3,3,0,233,0,3,0.07,2.45
O269,Standard,Ecom Express,Lucknow,Kolkata,5,7,2,1995,1,1,0.17,1.75
O270,Standard,BlueDart,Jaipur,Lucknow,6,7,1,1054,1,1,0.2,2.49
O271,Standard,Delhivery,Kolkata,Hyderabad,5,6,1,625,0,3,0.27,2.52
O272,Standard,BlueDart,Chennai,Mumbai,5,5,0,1032,1,1,0.15,1.04
O273,Standard,Delhivery,Bangalore,Delhi,5,5,0,952,1,3,0.13,1.13
O274,Express,Ecom Express,Bangalore,Jaipur,2,2,0,1209,1,2,0.14,1.69
O275,Standard,Ecom Express,Mumbai,Chennai,4,4,0,1095,1,3,0.17,2.97
O276,Express,Ecom Express,Delhi,Delhi,2,2,0,602,0,3,0.14,1.86
O277,Same-Day,Delhivery,Jaipur,Mumbai,1,2,1,485,0,1,0.2,1.22
O278,Standard,BlueDart,Kolkata,Bangalore,6,7,1,1131,1,2,0.31,2.33
O279,Standard,Delhivery,Jaipur,Delhi,6,7,1,466,0,2,0.15,2.66
O280,Standard,Delhivery,Hyderabad,Mumbai,6,6,0,1193,1,1,0.2,2.01
O281,Standard,BlueDart,Bangalore,Kolkata,3,3,0,670,0,3,0.2,2.58
O282,Express,Delhivery,Kolkata,Jaipur,1,1,0,942,1,1,0.12,2.79
O283,Standard,Ecom Express,Mumbai,Jaipur,4,5,1,1405,1,3,0.36,2.74
O284,Standard,BlueDart,Mumbai,Hyderabad,3,9,6,1538,1,3,0.34,2.29
O285,Express,BlueDart,Jaipur,Jaipur,3,3,0,127,0,3,0.28,2.26
O286,Standard,Ecom Express,Delhi,Delhi,3,3,0,303,0,2,0.15,1.68
O287,Express,BlueDart,Hyderabad,Jaipur,2,2,0,203,0,2,0.14,2.38
O288,Same-Day,BlueDart,Chennai,Bangalore,1,5,4,1222,1,2,0.39,1.32
O289,Standard,BlueDart,Hyderabad,Delhi,4,5,1,1528,1,1,0.36,2.17
O290,Express,Delhivery,Kolkata,Mumbai,3,5,2,1046,1,3,0.19,2.71
O291,Standard,Delhivery,Mumbai,Hyderabad,6,7,1,1332,1,2,0.21,1.41
O292,Standard,Ecom Express,Hyderabad,Jaipur,4,4,0,735,0,3,0.1,2.33
O293,Standard,Delhivery,Lucknow,Jaipur,3,3,0,560,0,3,0.18,1.49
O294,Express,Ecom Express,Chennai,Kolkata,1,1,0,1417,1,1,0.24,2.47
O295,Express,BlueDart,Lucknow,Mumbai,3,3,0,625,0,1,0.18,2.56
O296,Standard,Ecom Express,Hyderabad,Kolkata,4,6,2,984,1,3,0.27,2.14
O297,Standard,Delhivery,Chennai,Lucknow,6,8,2,1597,1,2,0.3,1.99
O298,Express,BlueDart,Chennai,Lucknow,3,3,0,586,0,3,0.19,1.62
O299,Standard,Delhivery,Mumbai,Kolkata,6,6,0,18,0,2,0.22,1.19
O300,Standard,Ecom Express,Lucknow,Kolkata,4,6,2,1599,1,1,0.32,2.86
O301,Express,Delhivery,Kolkata,Delhi,1,1,0,398,0,3,0.3,2.31
O302,Express,Ecom Express,Kolkata,Lucknow,2,2,0,1918,1,3,0.13,1.62
O303,Express,BlueDart,Chennai,Jaipur,1,1,0,1566,1,1,0.25,1.4
O304,Standard,Delhivery,Lucknow,Delhi,5,5,0,880,1,2,0.08,1.49
