order_id,customer_id,product_id,order_date,order_day_of_week,order_hour,quantity,product_price,discount_amount,discount_percentage,final_price,payment_method,is_cod,shipping_mode,courier_partner,warehouse_city,delivery_city,expected_delivery_days,actual_delivery_days,delivery_delay,distance_km,is_remote_area,delivery_attempts,courier_delay_rate,warehouse_processing_time,is_returned,return_reason,return_days_after_delivery,city,state,pincode,customer_tenure_days,total_orders,total_returns,overall_return_rate,avg_order_value,avg_days_between_orders,last_order_days_ago,preferred_category,frequent_return_flag,product_name,category,brand,price,price_band,product_return_rate,category_return_rate,avg_rating,rating_variance,size_variants_count,is_fragile
O11,C824,P5,2025-06-25,Wednesday,12,1,3499,0.0,0,3499.0,UPI,0,Express,Ecom Express,Kolkata,Hyderabad,3,3,0,513,0,1,0.16,1.01,0,NONE,0,Hyderabad,Telangana,534631,406,10,1,0.1,6460,14.837354510350155,25,Electronics,0,Levi's 511 Slim Jeans,Apparel,Levi's,3499,mid,0.22,0.235,3.9,0.9,6,0
O12,C995,P1,2025-09-09,Tuesday,5,3,11999,3599.7,10,32397.3,COD,1,Express,Ecom Express,Hyderabad,Delhi,1,3,2,1304,1,1,0.28,1.85,0,NONE,0,Delhi,Delhi,868862,472,44,4,0.09,15502,14.616624919852818,43,Electronics,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O13,C816,P4,2025-08-28,Thursday,14,1,24990,2499.0,10,22491.0,Card,0,Standard,Ecom Express,Hyderabad,Kolkata,4,5,1,873,1,2,0.37,1.96,0,NONE,0,Kolkata,West Bengal,227982,577,48,12,0.25,8245,26.441178478748128,25,Apparel,0,Sony WH-1000XM4 Headphones,Electronics,Sony,24990,high,0.05,0.065,4.8,0.2,1,1
O14,C564,P6,2025-07-04,Friday,4,1,3199,319.9,10,2879.1,UPI,0,Standard,BlueDart,Bangalore,Jaipur,6,6,0,908,1,2,0.16,1.17,0,NONE,0,Jaipur,Rajasthan,889410,639,33,5,0.15,19349,17.618233652800868,15,Home Appliances,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O15,C410,P4,2025-06-03,Tuesday,17,1,24990,2748.9,11,22241.1,COD,1,Standard,Ecom Express,Lucknow,Delhi,4,5,1,531,0,1,0.23,2.43,0,NONE,0,Delhi,Delhi,208584,426,13,1,0.08,11046,17.60275298382911,25,Home Appliances,0,Sony WH-1000XM4 Headphones,Electronics,Sony,24990,high,0.05,0.065,4.8,0.2,1,1
O16,C94,P6,2025-04-11,Friday,12,1,3199,319.9,10,2879.1,COD,1,Standard,BlueDart,Jaipur,Hyderabad,3,4,1,31,0,3,0.24,1.98,0,NONE,0,Hyderabad,Telangana,811256,614,28,5,0.18,14937,16.54199946102473,19,Home Appliances,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O17,C830,P6,2025-11-25,Tuesday,8,2,3199,0.0,0,6398.0,UPI,0,Express,Ecom Express,Kolkata,Hyderabad,2,5,3,1817,1,3,0.33,2.27,1,DAMAGED_IN_TRANSIT,6,Hyderabad,Telangana,289131,448,31,13,0.42,5282,5.719327906182585,17,Electronics,1,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O18,C146,P6,2025-12-23,Tuesday,11,1,3199,959.7,30,2239.3,UPI,0,Standard,Ecom Express,Bangalore,Delhi,6,6,0,1511,1,3,0.22,1.3,0,NONE,0,Delhi,Delhi,640546,173,43,6,0.14,11246,28.284218388249748,21,Electronics,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O19,C408,P2,2025-11-06,Thursday,0,1,1799,179.9,10,1619.1,UPI,0,Standard,Delhivery,Mumbai,Mumbai,5,6,1,511,0,3,0.33,1.77,0,NONE,0,Mumbai,Maharashtra,579605,704,33,5,0.15,19810,28.904758040643774,9,Home Appliances,0,Levi's Slim Fit T-Shirt,Apparel,Levi's,1799,low,0.25,0.235,4.0,0.8,5,0
O20,C203,P5,2025-12-28,Sunday,8,1,3499,69.98,2,3429.02,COD,1,Express,Ecom Express,Chennai,Lucknow,3,4,1,1868,1,3,0.39,2.32,0,NONE,0,Lucknow,Uttar Pradesh,106933,574,6,0,0.0,18576,15.283462705435412,2,Footwear,0,Levi's 511 Slim Jeans,Apparel,Levi's,3499,mid,0.22,0.235,3.9,0.9,6,0
O21,C559,P5,2025-07-15,Tuesday,4,1,3499,979.72,28,2519.28,Card,0,Standard,BlueDart,Hyderabad,Mumbai,3,4,1,228,0,3,0.25,1.62,0,NONE,0,Mumbai,Maharashtra,931420,524,25,1,0.04,6165,17.206909959335853,58,Apparel,0,Levi's 511 Slim Jeans,Apparel,Levi's,3499,mid,0.22,0.235,3.9,0.9,6,0
O22,C889,P2,2025-03-28,Friday,9,1,1799,17.99,1,1781.01,UPI,0,Standard,Ecom Express,Jaipur,Jaipur,3,4,1,148,0,1,0.19,1.37,0,NONE,0,Jaipur,Rajasthan,775156,240,33,0,0.0,18339,20.608992015634023,40,Home Appliances,0,Levi's Slim Fit T-Shirt,Apparel,Levi's,1799,low,0.25,0.235,4.0,0.8,5,0
O23,C835,P5,2025-03-10,Monday,23,3,3499,1049.7,10,9447.3,Card,0,Standard,Delhivery,Hyderabad,Delhi,3,4,1,927,1,2,0.4,2.74,0,NONE,0,Delhi,Delhi,278117,545,21,0,0.0,16649,28.25817352890535,57,Home Appliances,0,Levi's 511 Slim Jeans,Apparel,Levi's,3499,mid,0.22,0.235,3.9,0.9,6,0
O24,C210,P6,2025-08-14,Thursday,8,1,3199,1279.6,40,1919.4,Card,0,Standard,Delhivery,Kolkata,Lucknow,3,3,0,1783,1,1,0.2,1.96,1,NO_LONGER_NEEDED,2,Lucknow,Uttar Pradesh,148823,106,22,2,0.09,9687,27.482791271625217,37,Apparel,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O25,C151,P6,2025-01-05,Sunday,12,1,3199,0.0,0,3199.0,COD,1,Express,Ecom Express,Chennai,Mumbai,3,3,0,1197,1,2,0.17,1.67,1,NO_LONGER_NEEDED,7,Mumbai,Maharashtra,119857,481,17,4,0.24,10779,15.46950745422975,27,Electronics,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O26,C106,P2,2025-06-22,Sunday,1,2,1799,719.6,20,2878.4,UPI,0,Same-Day,BlueDart,Kolkata,Mumbai,1,1,0,1677,1,1,0.05,2.74,1,SIZE_FIT_ISSUE,7,Mumbai,Maharashtra,352838,780,27,9,0.33,3896,24.287534352746476,48,Footwear,1,Levi's Slim Fit T-Shirt,Apparel,Levi's,1799,low,0.25,0.235,4.0,0.8,5,0
O27,C285,P4,2025-03-13,Thursday,19,1,24990,0.0,0,24990.0,UPI,0,Standard,Ecom Express,Lucknow,Chennai,5,5,0,1952,1,3,0.15,1.38,0,NONE,0,Chennai,Tamil Nadu,704663,672,50,0,0.0,3025,17.40368922337848,33,Footwear,0,Sony WH-1000XM4 Headphones,Electronics,Sony,24990,high,0.05,0.065,4.8,0.2,1,1
O28,C439,P2,2025-11-23,Sunday,21,1,1799,377.79,21,1421.21,UPI,0,Express,BlueDart,Hyderabad,Kolkata,1,1,0,1302,1,3,0.17,2.48,1,CHANGED_MIND,2,Kolkata,West Bengal,680412,598,5,2,0.4,5132,8.080878973337475,1,Home Appliances,1,Levi's Slim Fit T-Shirt,Apparel,Levi's,1799,low,0.25,0.235,4.0,0.8,5,0
O29,C100,P1,2025-06-28,Saturday,18,1,11999,3599.7,30,8399.3,COD,1,Standard,Ecom Express,Bangalore,Delhi,3,3,0,1508,1,1,0.17,1.17,1,SIZE_FIT_ISSUE,9,Delhi,Delhi,591897,489,50,14,0.28,672,27.64643722758177,2,Footwear,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O30,C670,P6,2025-08-28,Thursday,21,3,3199,2879.1,30,6717.9,COD,1,Standard,Ecom Express,Mumbai,Bangalore,3,4,1,992,1,1,0.26,2.43,0,NONE,0,Bangalore,Karnataka,936039,489,23,1,0.04,13017,21.962335131259376,34,Apparel,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O31,C619,P1,2025-03-24,Monday,21,1,11999,2639.78,22,9359.22,UPI,0,Same-Day,Delhivery,Delhi,Delhi,1,2,1,1574,1,3,0.31,1.98,0,NONE,0,Delhi,Delhi,262934,672,35,2,0.06,15593,27.301458169747953,35,Footwear,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O32,C300,P5,2025-12-21,Sunday,23,1,3499,349.9,10,3149.1,UPI,0,Same-Day,BlueDart,Jaipur,Delhi,0,1,1,1323,1,1,0.21,1.23,0,NONE,0,Delhi,Delhi,588694,351,33,0,0.0,13820,8.01841842679764,23,Electronics,0,Levi's 511 Slim Jeans,Apparel,Levi's,3499,mid,0.22,0.235,3.9,0.9,6,0
O33,C989,P1,2025-02-14,Friday,10,1,11999,2399.8,20,9599.2,UPI,0,Standard,BlueDart,Bangalore,Kolkata,4,5,1,1529,1,2,0.17,2.07,0,NONE,0,Kolkata,West Bengal,111583,205,38,6,0.16,11207,26.49268368441843,27,Home Appliances,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O34,C230,P1,2025-07-18,Friday,19,1,11999,2159.82,18,9839.18,UPI,0,Same-Day,Ecom Express,Hyderabad,Delhi,1,2,1,1638,1,1,0.25,2.08,0,NONE,0,Delhi,Delhi,543681,838,50,6,0.12,12853,6.849128389557212,39,Home Appliances,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O35,C990,P1,2025-08-24,Sunday,23,1,11999,2399.8,20,9599.2,UPI,0,Same-Day,Ecom Express,Bangalore,Mumbai,0,0,0,1028,1,3,0.13,2.0,0,NONE,0,Mumbai,Maharashtra,662511,458,13,2,0.15,16171,23.578568858795425,25,Electronics,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O36,C268,P1,2025-12-19,Friday,10,1,11999,3599.7,30,8399.3,COD,1,Standard,Delhivery,Hyderabad,Kolkata,4,6,2,1018,1,3,0.38,1.45,0,NONE,0,Kolkata,West Bengal,542828,740,12,0,0.0,4831,16.94250603594413,15,Home Appliances,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O37,C294,P2,2025-01-27,Monday,5,1,1799,161.91,9,1637.09,COD,1,Standard,Delhivery,Jaipur,Bangalore,6,6,0,1494,1,2,0.16,1.95,0,NONE,0,Bangalore,Karnataka,494552,899,47,9,0.19,10576,7.598725483788991,34,Electronics,0,Levi's Slim Fit T-Shirt,Apparel,Levi's,1799,low,0.25,0.235,4.0,0.8,5,0
O38,C982,P2,2025-06-28,Saturday,22,1,1799,521.71,29,1277.29,UPI,0,Standard,Ecom Express,Jaipur,Hyderabad,3,3,0,1086,1,1,0.08,2.5,0,NONE,0,Hyderabad,Telangana,571829,601,33,1,0.03,1486,14.367504183007444,37,Electronics,0,Levi's Slim Fit T-Shirt,Apparel,Levi's,1799,low,0.25,0.235,4.0,0.8,5,0
O39,C248,P1,2025-10-25,Saturday,22,1,11999,0.0,0,11999.0,COD,1,Express,BlueDart,Chennai,Kolkata,3,3,0,627,0,1,0.1,2.61,0,NONE,0,Kolkata,West Bengal,608149,169,5,1,0.2,6893,25.380398516346546,36,Home Appliances,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O40,C894,P4,2025-04-11,Friday,4,1,24990,0.0,0,24990.0,COD,1,Same-Day,BlueDart,Jaipur,Bangalore,1,1,0,1491,1,3,0.26,2.85,1,DAMAGED_IN_TRANSIT,2,Bangalore,Karnataka,455446,271,34,10,0.29,19557,19.139930664495957,58,Electronics,0,Sony WH-1000XM4 Headphones,Electronics,Sony,24990,high,0.05,0.065,4.8,0.2,1,1
O41,C241,P6,2025-07-02,Wednesday,4,1,3199,383.88,12,2815.12,Card,0,Standard,Ecom Express,Jaipur,Jaipur,3,4,1,245,0,1,0.16,1.48,0,NONE,0,Jaipur,Rajasthan,104666,751,29,4,0.14,7538,10.144611984183047,49,Apparel,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O42,C308,P1,2025-09-08,Monday,21,1,11999,1199.9,10,10799.1,COD,1,Express,Delhivery,Lucknow,Jaipur,3,3,0,1531,1,3,0.15,2.26,0,NONE,0,Jaipur,Rajasthan,471136,249,16,2,0.12,6632,11.874544225606051,29,Electronics,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O43,C974,P1,2025-08-16,Saturday,7,1,11999,0.0,0,11999.0,UPI,0,Express,Delhivery,Lucknow,Jaipur,1,1,0,174,0,2,0.22,1.19,0,NONE,0,Jaipur,Rajasthan,943584,539,28,6,0.21,10888,11.825486641818829,2,Electronics,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O44,C593,P6,2025-10-31,Friday,5,1,3199,959.7,30,2239.3,Card,0,Standard,BlueDart,Bangalore,Jaipur,6,6,0,616,0,2,0.19,2.07,1,CHANGED_MIND,9,Jaipur,Rajasthan,878533,615,44,10,0.23,19957,18.403984629592024,42,Apparel,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O45,C473,P5,2025-09-08,Monday,22,1,3499,0.0,0,3499.0,UPI,0,Standard,Delhivery,Bangalore,Jaipur,4,5,1,1982,1,3,0.26,1.63,0,NONE,0,Jaipur,Rajasthan,483405,656,41,5,0.12,9529,29.794966854267884,26,Electronics,0,Levi's 511 Slim Jeans,Apparel,Levi's,3499,mid,0.22,0.235,3.9,0.9,6,0
O46,C898,P3,2025-01-21,Tuesday,2,1,39999,3999.9,10,35999.1,COD,1,Express,Delhivery,Chennai,Lucknow,3,3,0,335,0,2,0.29,1.34,0,NONE,0,Lucknow,Uttar Pradesh,567836,109,18,2,0.11,12601,21.920561068925185,26,Home Appliances,0,Samsung Galaxy S21 FE,Electronics,Samsung,39999,high,0.08,0.065,4.3,0.3,1,1
O47,C309,P4,2025-12-03,Wednesday,17,1,24990,4998.0,20,19992.0,Card,0,Standard,BlueDart,Delhi,Hyderabad,3,3,0,1942,1,3,0.17,1.63,0,NONE,0,Hyderabad,Telangana,409440,540,46,0,0.0,14000,27.069464353972794,31,Apparel,0,Sony WH-1000XM4 Headphones,Electronics,Sony,24990,high,0.05,0.065,4.8,0.2,1,1
O48,C29,P3,2025-06-30,Monday,4,1,39999,15199.62,38,24799.38,UPI,0,Standard,BlueDart,Hyderabad,Bangalore,4,6,2,1413,1,1,0.3,1.43,1,WRONG_ITEM,6,Bangalore,Karnataka,401603,723,34,0,0.0,18410,8.949390551794673,29,Footwear,0,Samsung Galaxy S21 FE,Electronics,Samsung,39999,high,0.08,0.065,4.3,0.3,1,1
O49,C556,P1,2025-05-23,Friday,12,2,11999,7199.4,30,16798.6,UPI,0,Standard,BlueDart,Mumbai,Bangalore,3,3,0,1131,1,2,0.22,2.88,0,NONE,0,Bangalore,Karnataka,332665,249,24,2,0.08,10818,5.542534286439988,53,Footwear,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O50,C429,P2,2025-03-15,Saturday,21,1,1799,0.0,0,1799.0,Card,0,Standard,Ecom Express,Delhi,Chennai,5,5,0,1301,1,2,0.26,1.63,0,NONE,0,Chennai,Tamil Nadu,641975,871,6,0,0.0,12786,17.857726552117008,33,Home Appliances,0,Levi's Slim Fit T-Shirt,Apparel,Levi's,1799,low,0.25,0.235,4.0,0.8,5,0
O51,C89,P4,2025-08-11,Monday,2,1,24990,2499.0,10,22491.0,COD,1,Standard,BlueDart,Mumbai,Jaipur,3,3,0,558,0,2,0.28,2.56,0,NONE,0,Jaipur,Rajasthan,479404,48,37,3,0.08,12381,12.721651751597022,14,Footwear,0,Sony WH-1000XM4 Headphones,Electronics,Sony,24990,high,0.05,0.065,4.8,0.2,1,1
O52,C211,P2,2025-03-16,Sunday,3,1,1799,197.89,11,1601.11,UPI,0,Standard,Delhivery,Delhi,Kolkata,5,5,0,25,0,3,0.23,1.61,0,NONE,0,Kolkata,West Bengal,317221,631,6,0,0.0,5224,23.806361746171625,46,Home Appliances,0,Levi's Slim Fit T-Shirt,Apparel,Levi's,1799,low,0.25,0.235,4.0,0.8,5,0
O53,C857,P6,2025-09-08,Monday,10,1,3199,639.8,20,2559.2,COD,1,Standard,BlueDart,Delhi,Jaipur,5,6,1,1134,1,2,0.35,2.36,0,NONE,0,Jaipur,Rajasthan,199074,505,31,0,0.0,19127,25.320618944872233,23,Footwear,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O54,C791,P6,2025-09-30,Tuesday,21,1,3199,991.69,31,2207.31,Card,0,Express,Delhivery,Delhi,Kolkata,2,4,2,1218,1,2,0.29,1.53,1,WRONG_ITEM,6,Kolkata,West Bengal,202078,468,29,7,0.24,11809,29.798638067648945,27,Footwear,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O55,C963,P2,2025-12-29,Monday,16,1,1799,755.58,42,1043.42,UPI,0,Standard,BlueDart,Chennai,Bangalore,6,7,1,1452,1,2,0.28,2.44,1,SIZE_FIT_ISSUE,4,Bangalore,Karnataka,243910,418,48,17,0.35,4136,13.459581981620584,14,Footwear,1,Levi's Slim Fit T-Shirt,Apparel,Levi's,1799,low,0.25,0.235,4.0,0.8,5,0
O56,C189,P4,2025-06-06,Friday,2,2,24990,0.0,0,49980.0,COD,1,Express,Ecom Express,Hyderabad,Hyderabad,2,2,0,837,1,1,0.09,1.11,0,NONE,0,Hyderabad,Telangana,999197,754,24,11,0.46,5230,25.144403998372173,59,Apparel,1,Sony WH-1000XM4 Headphones,Electronics,Sony,24990,high,0.05,0.065,4.8,0.2,1,1
O57,C584,P1,2025-05-27,Tuesday,4,1,11999,3599.7,30,8399.3,UPI,0,Express,BlueDart,Lucknow,Hyderabad,1,2,1,1975,1,3,0.32,2.35,0,NONE,0,Hyderabad,Telangana,424008,735,13,4,0.31,17664,27.73906788514042,28,Electronics,1,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O58,C593,P6,2025-09-30,Tuesday,22,1,3199,959.7,30,2239.3,COD,1,Standard,Ecom Express,Kolkata,Jaipur,3,3,0,1267,1,1,0.3,2.32,1,DAMAGED_IN_TRANSIT,9,Jaipur,Rajasthan,878533,615,44,10,0.23,19957,18.403984629592024,42,Apparel,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O59,C183,P3,2025-12-17,Wednesday,7,3,39999,50398.74,42,69598.26,Card,0,Standard,Delhivery,Mumbai,Bangalore,6,7,1,1980,1,2,0.36,2.03,0,NONE,0,Bangalore,Karnataka,316092,98,20,2,0.1,3806,19.848603686983935,29,Apparel,0,Samsung Galaxy S21 FE,Electronics,Samsung,39999,high,0.08,0.065,4.3,0.3,1,1
O60,C558,P1,2025-01-27,Monday,3,1,11999,3599.7,30,8399.3,COD,1,Standard,BlueDart,Chennai,Hyderabad,4,4,0,769,0,2,0.12,1.43,1,SIZE_FIT_ISSUE,10,Hyderabad,Telangana,368691,860,19,2,0.11,10340,7.297628032134316,26,Electronics,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O61,C469,P4,2025-07-21,Monday,0,1,24990,4998.0,20,19992.0,COD,1,Same-Day,Ecom Express,Lucknow,Jaipur,0,2,2,1920,1,2,0.22,1.21,1,CHANGED_MIND,6,Jaipur,Rajasthan,717661,853,27,3,0.11,19378,7.442922708669565,9,Footwear,0,Sony WH-1000XM4 Headphones,Electronics,Sony,24990,high,0.05,0.065,4.8,0.2,1,1
O62,C749,P1,2025-04-06,Sunday,4,1,11999,0.0,0,11999.0,UPI,0,Standard,BlueDart,Mumbai,Jaipur,3,5,2,887,1,2,0.15,2.54,0,NONE,0,Jaipur,Rajasthan,106940,449,10,1,0.1,9456,15.362850348445216,36,Home Appliances,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O63,C388,P2,2025-05-09,Friday,8,1,1799,539.7,30,1259.3,UPI,0,Standard,Delhivery,Lucknow,Chennai,5,6,1,617,0,3,0.36,1.32,0,NONE,0,Chennai,Tamil Nadu,342389,497,46,0,0.0,10200,11.60312556927602,4,Apparel,0,Levi's Slim Fit T-Shirt,Apparel,Levi's,1799,low,0.25,0.235,4.0,0.8,5,0
O64,C706,P1,2025-07-01,Tuesday,1,1,11999,119.99,1,11879.01,UPI,0,Standard,Delhivery,Jaipur,Bangalore,5,6,1,1814,1,2,0.34,2.8,0,NONE,0,Bangalore,Karnataka,481884,321,46,0,0.0,7367,15.866791056726457,22,Home Appliances,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O65,C312,P2,2025-03-24,Monday,4,3,1799,1673.07,31,3723.93,COD,1,Standard,BlueDart,Jaipur,Kolkata,5,5,0,248,0,3,0.23,2.48,1,SIZE_FIT_ISSUE,7,Kolkata,West Bengal,383572,214,29,2,0.07,1354,12.97193918323449,15,Apparel,0,Levi's Slim Fit T-Shirt,Apparel,Levi's,1799,low,0.25,0.235,4.0,0.8,5,0
O66,C981,P2,2025-03-09,Sunday,7,3,1799,0.0,0,5397.0,COD,1,Standard,Delhivery,Kolkata,Lucknow,3,3,0,263,0,2,0.29,2.47,0,NONE,0,Lucknow,Uttar Pradesh,930382,117,26,1,0.04,10758,26.14504169446352,28,Home Appliances,0,Levi's Slim Fit T-Shirt,Apparel,Levi's,1799,low,0.25,0.235,4.0,0.8,5,0
O67,C503,P1,2025-08-11,Monday,16,1,11999,2399.8,20,9599.2,Card,0,Standard,Delhivery,Hyderabad,Chennai,6,6,0,174,0,2,0.24,2.73,0,NONE,0,Chennai,Tamil Nadu,979725,674,35,7,0.2,3655,16.246370476594794,22,Footwear,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O68,C353,P4,2025-12-25,Thursday,16,3,24990,22491.0,30,52479.0,COD,1,Express,Ecom Express,Delhi,Jaipur,1,1,0,975,1,1,0.3,2.18,0,NONE,0,Jaipur,Rajasthan,229890,727,45,8,0.18,1501,11.048452364740289,32,Home Appliances,0,Sony WH-1000XM4 Headphones,Electronics,Sony,24990,high,0.05,0.065,4.8,0.2,1,1
